State,County,UID,FIPS,Lat,Long,Date,#Covid_cases
Texas,McLennan,84048309,48309.0,31.55255453,-97.20217694,2020-01-31,0
Texas,McMullen,84048311,48311.0,28.35251708,-98.56769164,2020-01-31,0
Texas,Medina,84048325,48325.0,29.355730100000002,-99.11030298,2020-01-31,0
Texas,Menard,84048327,48327.0,30.88990665,-99.82047940000001,2020-01-31,0
Texas,Midland,84048329,48329.0,31.86904128,-102.03156820000001,2020-01-31,0
Texas,Milam,84048331,48331.0,30.78581830000001,-96.97718698,2020-01-31,0
Texas,Mills,84048333,48333.0,31.49557106,-98.59272068,2020-01-31,0
Texas,Mitchell,84048335,48335.0,32.30623474,-100.9212058,2020-01-31,0
Texas,Montague,84048337,48337.0,33.67521893,-97.72500958,2020-01-31,0
Texas,Montgomery,84048339,48339.0,30.30079133,-95.50572772,2020-01-31,0
Texas,Moore,84048341,48341.0,35.83769242,-101.8930281,2020-01-31,0
Texas,Morris,84048343,48343.0,33.11304005,-94.73255695,2020-01-31,0
Texas,Motley,84048345,48345.0,34.07408766,-100.77972199999999,2020-01-31,0
Texas,Nacogdoches,84048347,48347.0,31.62017125,-94.61803994,2020-01-31,0
Texas,Navarro,84048349,48349.0,32.04620681,-96.47428766,2020-01-31,0
Texas,Newton,84048351,48351.0,30.78548982,-93.74408813,2020-01-31,0
Texas,Nolan,84048353,48353.0,32.30365282,-100.4060208,2020-01-31,0
Texas,Nueces,84048355,48355.0,27.736286,-97.5433285,2020-01-31,0
Texas,Ochiltree,84048357,48357.0,36.27829105,-100.8158184,2020-01-31,0
Texas,Oldham,84048359,48359.0,35.40425596,-102.6027606,2020-01-31,0
Texas,Orange,84048361,48361.0,30.11879481,-93.89412775,2020-01-31,0
Texas,Out of TX,84080048,80048.0,0.0,0.0,2020-01-31,0
Texas,Palo Pinto,84048363,48363.0,32.75310985,-98.31319001,2020-01-31,0
Texas,Panola,84048365,48365.0,32.163959600000005,-94.30552481,2020-01-31,0
Texas,Parker,84048367,48367.0,32.77757172,-97.80500621,2020-01-31,0
Texas,Parmer,84048369,48369.0,34.52993409,-102.78446679999999,2020-01-31,0
Texas,Pecos,84048371,48371.0,30.78097267,-102.72412609999999,2020-01-31,0
Texas,Polk,84048373,48373.0,30.79472531,-94.82766240000001,2020-01-31,0
Texas,Potter,84048375,48375.0,35.40133773,-101.893964,2020-01-31,0
Texas,Presidio,84048377,48377.0,29.99954402,-104.24080790000001,2020-01-31,0
Texas,Rains,84048379,48379.0,32.87109387,-95.79232691,2020-01-31,0
Texas,Randall,84048381,48381.0,34.96585996,-101.8971322,2020-01-31,0
Texas,Reagan,84048383,48383.0,31.36607041,-101.52326590000001,2020-01-31,0
Texas,Real,84048385,48385.0,29.83321503,-99.82018052,2020-01-31,0
Texas,Red River,84048387,48387.0,33.61886692,-95.04841765,2020-01-31,0
Texas,Reeves,84048389,48389.0,31.32323325,-103.69038959999999,2020-01-31,0
Texas,Refugio,84048391,48391.0,28.323897600000002,-97.15766311,2020-01-31,0
Texas,Roberts,84048393,48393.0,35.83809685,-100.813175,2020-01-31,0
Texas,Robertson,84048395,48395.0,31.02539637,-96.51272246,2020-01-31,0
Texas,Rockwall,84048397,48397.0,32.89779518,-96.40771592,2020-01-31,0
Texas,Runnels,84048399,48399.0,31.8314342,-99.97616148,2020-01-31,0
Texas,Rusk,84048401,48401.0,32.10773545,-94.76176432,2020-01-31,0
Texas,Sabine,84048403,48403.0,31.34318809,-93.85440451,2020-01-31,0
Texas,San Augustine,84048405,48405.0,31.39457611,-94.17000399,2020-01-31,0
Texas,San Jacinto,84048407,48407.0,30.57933681,-95.16260304,2020-01-31,0
Texas,San Patricio,84048409,48409.0,28.00880118,-97.51763891,2020-01-31,0
Texas,San Saba,84048411,48411.0,31.1577796,-98.81758731,2020-01-31,0
Texas,Schleicher,84048413,48413.0,30.89740592,-100.5384842,2020-01-31,0
Texas,Scurry,84048415,48415.0,32.74613808,-100.91626640000001,2020-01-31,0
